Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Jumanne Masquater,996352,Aurobindo Aksc,"Serengeti Giants,Aces CC,Kinondoni Development,Dar Tigers,Tanzania,Aces,Aruti Aces,Aksc,GP Chui Challengers,Twiga Titans,SKY Simba Kings,Aurobindo Aksc,Alaf Aces,Royal Rhinos,Dar Combine,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Off Spin
Mohammad Ali,996346,Harab Motors Pak Stars,"Aces CC,Tanzania,Aces,Aruti Aces,Aces A,Kilimanjaro Aces,Chui Challengers,GP Chui Challengers,E-Parking Aces,Pacific Tembo Stars,Alaf Aces,Simba Kings,Pak Stars A,Harab Motors Pak Stars,Twiga Masters",All Rounder,Right Handed Batter,Left Arm Off Spin
Muaaz Abdulkarim,996347,Aruti Aces B,"Royal Strikers CC,Aruti Aces B,Alaf Aces,Alaf Aces B,Aces CC,Aces",All Rounder,Right Handed Batter,Right Arm Medium
Muzammil Ali,1036327,Aces,"Aces,Alaf Aces,Aces CC",All Rounder,Right Handed Batter,Right Arm Medium
Nassoro Zahoro,996350,Specialized K&P A,"Specialized K&P A,Aces CC,Tanzania,K&p Constructions,Aces,Gymkhana,Kilimanjaro Aces,Twiga Titans,CTV Royal Rhinos,Tembo Stars,K&P Constructions,Rhino Challengers",Wicket Keeper,Right Handed Batter,Right Arm Medium
Raza Baloch,996356,Aces B,"Alaf Aces,Aruti Aces B,Aces B,Alaf Aces B,Aces CC,Aces,Aces A,Twiga Titans,Reliance Twiga Titans,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Leg Spin
Raza Vakil,1293072,Aces B,"Aces B,Alaf Aces,Aruti Aces B,Alaf Aces B,Aces CC,Aces,Aces A",Wicket Keeper,Right Handed Batter,Right Arm Off Spin
Salum Jumbe,996351,Balakrishna Foundation Aces,"Tembo Warriors,Tanzania XI,Aces CC,Dar Tigers,Lions Academy,Tanzania,Aces,Aruti Aces,Aces A,GALAXIES,Meru Royal Rhinos,Twiga Titans,E-Parking Aces,SKY Simba Kings,Alaf Aces,Dar Motor36 Stars,Buffalo Blasters,Balakrishna Foundation Aces,Chui Riders",All Rounder,Right Handed Batter,Right Arm Fast
Sanjay Sharma,996361,Aces,"Aces,Alaf Aces,Aces CC",All Rounder,Right Handed Batter,Right Arm Medium
Saqib Ul Hassan,996357,Azania Bank Pak Stars,"GP,Alaf Aces,Gp,Aces CC,Aces,GP Pak Stars,Pak Stars,Pak Stars B,Azania Bank Pak Stars,Azania Bank Stars",All Rounder,Right Handed Batter,Right Arm Medium
Shafi Kolo,1036328,Specialized K&P A,"Strikers,Specialized K&P A,Serengeti Giants,Alaf Aces,Aces CC,Kinondoni Development,Mcc,Aces,Delaware Twiga Titans,SKY Simba Kings,Balakrishna Strikers,Remax Strikers,Dar Combine,Novum Strikers",All Rounder,Right Handed Batter,Right Arm Medium
Waheed Deshmukh,996355,Aruti Aces B,"Aruti Aces,Alaf Aces,Aruti Aces B,Aces CC,Aces,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Medium
Abhik Patwa,996382,Aurobindo Aksc,"Ngorongoro Titans,Aksc,Tanzania XI,Gymkhana,Tanzania,STARS,Twiga Titans,Reliance Simba Kings,Aurobindo Aksc,Pacific Tembo Stars,Tembo Stars,I&M Aurobindo Aksc,Twiga Masters",All Rounder,Right Handed Batter,Right Arm Off Spin
Aman Rawal,996390,Gymkhana,Gymkhana,All Rounder,Right Handed Batter,Right Arm Medium
Ansh Doshi,996388,Gymkhana,Gymkhana,All Rounder,Right Handed Batter,Left Arm Off Spin
Ashish Nagewadia,996380,Aksc B,"Aksc B,Gymkhana,Aksc,LEGENDS,NTS Bosch Gymkhana,Dar Legends XI",All Rounder,Right Handed Batter,Right Arm Medium
Ashish Shah,996389,Patel Brotherhood A,"NTS Bosch Gymkhana,Ilala Boys,Gymkhana,Patel Brotherhood A",All Rounder,Right Handed Batter,Right Arm Off Spin
Dhruv Pancholi,996393,Gymkhana B,"NTS Bosch Gymkhana,Gymkhana B,Kinondoni Development,Gymkhana",All Rounder,Right Handed Batter,Right Arm Off Spin
Gourav Choudhary,996392,Gymkhana,"Gymkhana,NTS Bosch Gymkhana,JiuZhou Gymkhana,DTB Gymkhana,Tembo Rangers",All Rounder,Right Handed Batter,Right Arm Fast
